Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
88649586,2023.04.04 11:22:53,buy,0.5,eurusd.i,1.09223,1.0917,1.09374,2023.04.04 11:36:31,1.09173,-1.5,0,0,-25
88754701,2023.04.05 09:39:52,buy,0.5,eurusd.i,1.0952,1.0949,0,2023.04.05 09:43:19,1.09488,-1.5,0,0,-16
88755031,2023.04.05 09:44:35,buy,0.5,eurusd.i,1.09494,1.0946,0,2023.04.05 10:17:21,1.09639,-1.5,0,0,72.5
88771194,2023.04.05 12:22:33,sell,0.5,eurusd.i,1.09528,1.09528,0,2023.04.05 12:26:17,1.09504,-1.5,0,0,12
88771700,2023.04.05 12:27:17,sell,0.5,eurusd.i,1.09478,1.09502,0,2023.04.05 12:41:16,1.09503,-1.5,0,0,-12.5
88867766,2023.04.06 09:16:48,sell,0.5,eurusd.i,1.0898,1.09,1.08862,2023.04.06 09:28:38,1.0901,-1.5,0,0,-15
88869269,2023.04.06 09:35:03,sell,0.5,eurusd.i,1.09045,1.0906,0,2023.04.06 10:04:19,1.09058,-1.5,0,0,-6.5
88876910,2023.04.06 10:55:04,sell,0.5,eurusd.i,1.09092,1.091,0,2023.04.06 11:05:57,1.091,-1.5,0,0,-4
88880860,2023.04.06 11:36:33,sell,0.5,eurusd.i,1.08953,1.08996,1.0888,2023.04.06 11:42:53,1.08999,-1.5,0,0,-23
89122270,2023.04.11 09:21:22,sell,0.5,eurusd.i,1.08907,1.08957,1.08675,2023.04.11 10:11:55,1.08958,-1.5,0,0,-25.5
89127515,2023.04.11 10:14:59,sell,0.5,eurusd.i,1.08952,1.09,1.08675,2023.04.11 10:24:48,1.09003,-1.5,0,0,-25.5
89145744,2023.04.11 13:16:13,sell,0.5,eurusd.i,1.0915,1.092,0,2023.04.11 13:54:43,1.09203,-1.5,0,0,-26.5
89421463,2023.04.13 11:55:03,sell,0.5,eurusd.i,1.10133,1.1016,1.1,2023.04.13 11:59:17,1.10163,-1.5,0,0,-15
89422368,2023.04.13 12:02:23,sell,0.5,eurusd.i,1.10121,1.1015,1.1,2023.04.13 12:15:09,1.10151,-1.5,0,0,-15
89424057,2023.04.13 12:23:35,sell,0.5,eurusd.i,1.10193,1.10225,0,2023.04.13 12:28:41,1.10227,-1.5,0,0,-17
89644769,2023.04.17 10:11:14,sell,0.5,eurusd.i,1.09939,1.09989,0,2023.04.17 10:35:29,1.09989,-1.5,0,0,-25
89975049,2023.04.20 09:42:03,sell,0.5,eurusd.i,1.09695,1.0974,1.09545,2023.04.20 10:12:43,1.09616,-1.5,0,0,39.5
90191272,2023.04.24 09:06:53,buy,0.5,eurusd.i,1.09782,1.09718,1.09984,2023.04.24 10:07:53,1.09716,-1.5,0,0,-33
90197036,2023.04.24 10:09:06,buy,0.5,eurusd.i,1.09744,1.09694,1.09961,2023.04.24 10:11:14,1.09694,-1.5,0,0,-25
90197425,2023.04.24 10:12:28,sell,0.5,eurusd.i,1.09669,1.09722,1.09458,2023.04.24 10:14:24,1.09724,-1.5,0,0,-27.5
90197817,2023.04.24 10:15:55,buy,0.5,eurusd.i,1.09765,1.09718,0,2023.04.24 10:20:46,1.09763,-1.5,0,0,-1
90204072,2023.04.24 11:24:36,sell,0.5,eurusd.i,1.09888,1.09939,0,2023.04.24 11:47:50,1.09944,-1.5,0,0,-28
90211203,2023.04.24 12:39:58,buy,0.5,eurusd.i,1.10181,1.10157,0,2023.04.24 12:46:02,1.10156,-1.5,0,0,-12.5
90309028,2023.04.25 10:29:38,sell,0.5,eurusd.i,1.10276,1.10327,0,2023.04.25 10:48:39,1.1033,-1.5,0,0,-27
90314697,2023.04.25 11:11:00,sell,0.01,eurusd.i,1.10284,1.10333,1.10133,2023.04.25 11:35:05,1.10334,-0.03,0,0,-0.5
90461393,2023.04.26 15:53:36,sell,0.5,eurusd.i,1.10535,1.10585,1.10357,2023.04.26 16:20:45,1.10593,-1.5,0,0,-29
90465360,2023.04.26 16:22:08,sell,0.47,eurusd.i,1.10653,1.10704,1.10502,2023.04.26 16:23:15,1.10704,-1.41,0,0,-23.97
90466647,2023.04.26 16:24:17,buy,0.24,eurusd.i,1.10825,1.10825,1.11093,2023.04.26 16:25:23,1.10925,-0.72,0,0,24
90467373,2023.04.26 16:24:17,buy,0.12,eurusd.i,1.10825,1.10825,1.11093,2023.04.26 16:25:36,1.10911,-0.36,0,0,10.32
90467462,2023.04.26 16:24:17,buy,0.06,eurusd.i,1.10825,1.10825,1.11093,2023.04.26 16:25:41,1.10889,-0.18,0,0,3.84
90467491,2023.04.26 16:24:17,buy,0.03,eurusd.i,1.10825,1.10825,1.11093,2023.04.26 16:25:41,1.10893,-0.09,0,0,2.04
90467495,2023.04.26 16:24:17,buy,0.01,eurusd.i,1.10825,1.10825,1.11093,2023.04.26 16:25:42,1.10887,-0.03,0,0,0.62
90467497,2023.04.26 16:24:17,buy,0.01,eurusd.i,1.10825,1.10825,1.11093,2023.04.26 16:25:44,1.10887,-0.03,0,0,0.62
90469597,2023.04.26 16:30:43,sell,0.5,eurusd.i,1.10858,0,0,2023.04.26 16:33:04,1.10882,-1.5,0,0,-12
90471442,2023.04.26 16:35:34,sell,0.5,eurusd.i,1.10826,0,0,2023.04.26 16:36:24,1.10857,-1.5,0,0,-15.5
90473060,2023.04.26 16:42:22,sell,0.5,eurusd.i,1.10846,1.10892,0,2023.04.26 16:51:14,1.10893,-1.5,0,0,-23.5
90545732,2023.04.27 11:50:01,sell,0.5,eurusd.i,1.10505,1.10544,1.10401,2023.04.27 11:54:46,1.10549,-1.5,0,0,-22
90577220,2023.04.27 16:27:13,sell,0.5,eurusd.i,1.10065,1.10066,0,2023.04.27 16:27:21,1.10067,-1.5,0,0,-1
90577282,2023.04.27 16:27:36,sell,0.25,eurusd.i,1.10061,1.10061,0,2023.04.27 16:30:38,1.10017,-0.75,0,0,11
90578018,2023.04.27 16:27:36,sell,0.25,eurusd.i,1.10061,1.10061,0,2023.04.27 16:31:23,1.10047,-0.75,0,0,3.5
90578574,2023.04.27 16:32:39,sell,0.5,eurusd.i,1.10061,1.10099,1.09984,2023.04.27 16:34:29,1.10103,-1.5,0,0,-21
90672654,2023.04.28 15:49:58,sell,0.5,eurusd.i,1.09717,0,0,2023.04.28 15:53:33,1.09779,-1.5,0,0,-31
90677370,2023.04.28 16:19:51,sell,0.5,eurusd.i,1.10058,1.10058,1.09634,2023.04.28 17:05:30,1.10061,-1.5,0,0,-1.5
90799704,2023.05.01 18:49:26,buy,0.5,eurusd.i,1.09705,1.09655,0,2023.05.01 19:06:30,1.09652,-1.5,0,0,-26.5
90826483,2023.05.02 06:23:30,buy,0.5,eurusd.i,1.09868,1.09818,0,2023.05.02 06:36:35,1.09855,-1.5,0,0,-6.5
90827226,2023.05.02 06:59:22,sell,0.5,eurusd.i,1.09846,0,0,2023.05.02 07:06:14,1.09851,-1.5,0,0,-2.5
90961856,2023.05.03 12:13:17,buy,0.5,eurusd.i,1.10429,1.10429,0,2023.05.03 12:15:20,1.10428,-1.5,0,0,-0.5
90968815,2023.05.03 14:07:06,sell,0.5,eurusd.i,1.10373,1.10462,0,2023.05.03 15:07:29,1.10413,-1.5,0,0,-20
90994590,2023.05.03 17:17:57,sell,0.5,eurusd.i,1.10478,1.10478,0.09529,2023.05.03 17:33:59,1.1048,-1.5,0,0,-1
90997432,2023.05.03 17:38:06,sell,0.5,eurusd.i,1.10479,0,0,2023.05.03 17:41:21,1.10496,-1.5,0,0,-8.5
90998667,2023.05.03 17:45:27,sell,0.5,eurusd.i,1.10519,0,0,2023.05.03 17:51:57,1.10561,-1.5,0,0,-21
91003306,2023.05.03 18:16:56,sell,0.5,eurusd.i,1.10557,1.10607,1.09478,2023.05.03 21:00:06,1.10609,-1.5,0,0,-26
91068039,2023.05.04 09:01:30,sell,0.5,eurusd.i,1.10811,0,0,2023.05.04 09:03:18,1.10828,-1.5,0,0,-8.5
91618010,2023.05.11 09:29:00,buy,0.5,eurusd.i,1.09698,1.09663,1.09822,2023.05.11 09:31:49,1.09663,-1.5,0,0,-17.5
91618983,2023.05.11 09:35:11,buy,0.5,eurusd.i,1.0953,0,0,2023.05.11 09:37:11,1.09488,-1.5,0,0,-21
91619687,2023.05.11 09:39:30,buy,0.5,eurusd.i,1.09485,1.09431,1.09981,2023.05.11 09:56:36,1.09429,-1.5,0,0,-28
91630911,2023.05.11 11:04:15,buy,0.5,eurusd.i,1.09278,1.09238,0,2023.05.11 11:04:30,1.09225,-1.5,0,0,-26.5
91853238,2023.05.15 11:55:40,sell,1.88,audcad.i,0.90323,0.90373,0.90173,2023.05.15 11:56:15,0.90339,-5.64,0,0,-22.26
91853334,2023.05.15 11:56:48,sell,1.39,eurusd.i,1.08683,1.08683,1.08475,2023.05.15 12:14:11,1.08563,-4.17,0,0,166.8
91882875,2023.05.15 16:49:00,sell,1.4,eurusd.i,1.08814,1.08814,1.08732,2023.05.15 16:53:53,1.08786,-4.2,0,0,39.2
91893837,2023.05.15 17:48:11,sell,0.71,eurusd.i,1.08711,1.08711,1.08562,2023.05.15 18:02:48,1.08657,-2.13,0,0,38.34
91895974,2023.05.15 17:48:11,sell,0.35,eurusd.i,1.08711,1.08711,1.08562,2023.05.15 18:03:11,1.08666,-1.05,0,0,15.75
91896012,2023.05.15 17:48:11,sell,0.35,eurusd.i,1.08711,1.08711,1.08562,2023.05.15 18:07:45,1.08716,-1.05,0,0,-1.75
91897032,2023.05.15 18:14:56,sell,3.53,eurusd.i,1.08707,1.08728,1.08558,2023.05.15 18:16:38,1.08715,-10.59,0,0,-28.24
91964583,2023.05.16 14:49:18,sell,1.41,eurusd.i,1.08875,1.08875,1.08726,2023.05.16 15:22:48,1.08837,-4.23,0,0,53.58
91976701,2023.05.16 15:52:32,buy,0.71,eurusd.i,1.08765,1.08765,1.08914,2023.05.16 16:10:07,1.08854,-2.13,0,0,63.19
91980004,2023.05.16 15:52:32,buy,0.35,eurusd.i,1.08765,1.08765,1.08914,2023.05.16 16:10:23,1.08855,-1.05,0,0,31.5
91980060,2023.05.16 15:52:32,buy,0.35,eurusd.i,1.08765,1.08808,1.08968,2023.05.16 16:15:35,1.08807,-1.05,0,0,14.7
91984288,2023.05.16 16:31:41,buy,0.01,audcad.i,0.8963,0,0,2023.05.16 16:32:06,0.8966,-0.03,0,0,0.23
91984353,2023.05.16 16:31:53,buy,0.01,audcad.i,0.89633,0.89582,0,2023.05.16 16:32:04,0.89669,-0.03,0,0,0.27
